toxicity	message
0.2808816	******** **** *********** **** **** ********** *******, **** *** *** ** ******** **** ***********....*** **** ******** *********** ********, ** *** *** ** *********** ******* **** ******* ** *********.
0.69542736	"""  ***'** ************* ********! ********* **** ******* ** ***** ** ********* *** ******** ** *** *** """"********"""" *** **** ** *** **********.  ******? **** ******** ** ***** *** *** ****** *** *** **** *** *** ***** **. *** **** * ********** ***** ** *** *** ****. ***'* **** **** ******** *** ** **** ***** ****** ****** *** *********, ***** ** **** **** ***** *****. *(** ********** **** ***** ** ** ***%, *** *** ******* *** *** *** ***** ***** **** ** ***** *****, *** ******** ***** ** *****). *(**** *** **** ** ****? ** **** **********. ** *** *** **** *** ******* **** *** **** *** *** **** ****** ****'** *** **** *****, **** ******* ****'** ***. **** **** * **** ** * ****** ******* *****. ** ***** **** ****.)  *(***** **** *** ***** ** ****** *****.) *(***** **** *** ** ***** ****** **** *** ******** ** **** ******* ***** ** ******* ******, *** **** ** *****'* **** ** ***** ***). *(* *** ******* *** *** **** *** *** *** **** ** *** ****, ** **** **** * ***** **** **** * **** ** **** ***** ** ***** ** *** ***** **** *** ******* **** *** **** *****. *** ********** ***** ***** *** *****, ******* ** ***** *** ***** *****.) *(****'* *** * **********, *** ** ********** *** *****, *** **** **** **** ***** *** ** *** *** **** ***** ** *** ****) *(***% **** **, ***** ****) *(**** * ********* *****, *** *** ****** *** ********, ****% **** ** *** *** **** ****** *** ** ** ***** *****). *(***% **** **, ***** ****... *****)  ** ***, *** ***** *********** **** *** *** **** ***** **** ** ** ***, **** *** ** *** ******** *** **** *** **** ** *******. ** (** ********** *** ***** ** ** ***%, *** *** ******* *** *** **** **** *****-****). **(***% **** **, ***** **** *****)  ***** ******* ******. *** ******** ** **** **** ** ****** *** ****** *** ** **** **** ***** **** ***** **** ******* ** *****. *** *** **********? ***'* *** **** *** ** ************* ******. ** *** **** **** *****? ** *****'* **** *** *****, **** ***** *** ****** *****, ******** ********. *** *** *********** ****'* **** **** *** ******* *******, ****'** **** *** ******* *******.  **** * **** ** ***** ****, ******. ***** ****** **** ******* *** **** *** **** *** *****? * ***'* ***** **. ***** *** **** * ****** ** ********* ** *** ******** *** *********, ******* ********* **** ***** *** ***** **** ******* ** *****. ***** ***** ** * *** ** ***** *** ***** *** **** ***** **** **** ******* ****** ***** ** ****** *****, ** **** ***** *** ****** ******* ** ******* *****'* **** *** *****?  **** ** **** ****  — ********* ******** ******* ***** **  (**** • ********)  """
0.146276	"""  *** ** **** *** * ***** * *** ****** **** **** *** *** **** ** ** ****.  """
0.13865161	"""**. * ******* *** ****** ** *** ** ***** ** *** (****). *** *********:****** *** ************ ** *** ** *** ****** ** *********. ** ***'* **** ** **********, *** [[*** *******. **** ****, *** ***** *******! *****■ """
0.073576644	***** ** *** *** ******** **** ********, *** * **** **** *** ******** *** ********, *'**, **...****.  (* ****, * ******** *** *****, ***, *** **'* **** ** *** *** ***** ***** ** ********* **** ******* ***** *** *******.)  * *** ********** *** *******, *** *** ** **** *** ** ********** ***** ******* **** ********* *******.  ****, *** ****** *** ********** *** ****** **** ******* **.  * ******* ******* ** ** ** ******, *** ******'* ****.  ** **** **** * *** ******* * *****, *** **** ********** **, *** ** ** ***** *** **** **** *'* ******* * ***** **** * *** ** ******* ** **, * *** ****** *** ******** ***.  *******, * *** **** **** **** ******* ****'* ***** ** ********** **** ******* **** * ***** **** ** **********.  * ****** *** *******, **** *** *** **** *** **** *** ** ****, *** * ****** ** **** *** **** ** **** *'** ****** ** ********* *****, ** * *** ** **** *** **** *** ***** **** *** ******* *** *********.  *** ****** ** **** ******** ** * **** **** *******.** **** ** ** ****-****** *** ** ****** **** ******* ********** *** **** ** **** *** ****** ** *** **** **** ** **** ****** *** ********.  ********'* ***** ** *********, *** *** *** ** **** *** ****** **** ** ******* ****.  * ***'* ***** **'* ********* *** ****** ******* ******** *****, ***** *'* *** **** *****'* **** *** ***** ** ** ****** *** *********, ******.  *** *'* ** **** **** *** ******.  **** **** *****.
0.05385325	*** ***** **** *** * *** ********. *****.
0.98882586	***** ** *****! **** ***!
0.15410592	""" ****, ***** ** **** **.  :  ****   """
0.04525366	* ****'* *********** ** *** ******** ********** ** ** ******* ****** ** ***** **** * ***** ** ****, *** * ** ******* **** *** ******** ********** *** ** ************ **** **** * *********.  ** *** **** ** * **** ** ******** ******** ** *** ***** ** ****, ******* ** ****'* **** **** * *** ** **** ********** *** **** * ****** **** *********** ** ***.
0.020363005	***. **:** ** ******** ****, ** ******* **** (***)
0.33738294	********** **** **** *** * ***'* *** *** ** *** **...* **** ****'* **** ** ***.** ***'* **** ** **** ** **.************** *** **** ** ***** ** *** ******* ** **** ********.**** ****** *****'* *** ** *** ****** ***** ****** *** **** *** ***** ** ***** * ********** *****.* ***'* **** ** ** ********* *** *** *** *** *****.****,*** *** ***** **** ** *** ** *** **** ** ** **** ******* * *** ****.** ** ** *** **** ** *** ** ******** ** **** ** ** ******** ******* ***** **** ******* ** ** ***** ** *****.
0.40311113	*****'* * ***** ****** ******* ** *** ******** ****** **** ********** ****'* *** * ***********! **** ** *** ****!   ** **** ** *** *****  *** *** *****   ***? *** ******** ** *** ****** *** ** *** ** ** * ******!
0.21290004	"""   ********* ********   * **** *** ****** **** ****** *** *****, ****** ******, *** * **** **** ********* ******* ********** **** ********, *** *** *** ****** **** ** ** ********* *** *********. ** ** ***** ********** *** ******* ** **** ******* ****** ******** ********* *** ****** ** ***.   **** ** *** ******** ** ********* *** ******** ****** ** ******, *** *******. ********* ***** ***********, *** **********.  *** ****** ** ** ******** ** *** ********* ** **** ** ** ****** *******.  ** **** *** **** ** **** ** ******** *** ******** ** ********* ********.  ** **** *** **** **** ** *** ********* ***** **** ** *** ********* ** ******** ** *********.  ** ***** ** **** ** ************* **** ****** **** ***** *** *********. * ****** ***** *** ***** ******* **** *** ** *** ********.  *** **** ** **** ****** ************* ** **** """"******** *****"""" **. ****** **** ***** *****, ** **** ******, *** ******* ******* ** ***** ******** ******* ** **** ******* *** ******* ******** ** ** **** - **** ** ******** *****. ** ** ** ****** ****** *** *****, ** ** ***** **** *** ***** **** *******. ********* *** *** *** ** ** ** * ***** ***********, **** ** *******, ** ** ******** ** ** *** ************ """"****** *** ****"""".-  """
0.31089434	*** **** *** ***'* **** ***** ** ******* **** ****** *** **** ** ******** ******** *********.***.***.***.***
0.06328337	*** ******* ** **** ** *********** ** ***** (****).  ****** ** **** **** ** **** ***!  *'* ****** *** ******* ** ****** ** ***** ***** ***** ** *** *******, *** *'* ****** ********** ** ** *** ***** *** *** **** **** ****.  ** **** ***** ** *******, ** ** **** */* ** ** *** *** ****** **** '*****', ****'** ** ** **********!  ** *** **** **** *********** ** *** ** *** *********, **** * **** ** *********:*********, ***** *** * ****** ** ************* *********.  *************, **** ******* ******** ****** *** *********, *** ** ***** ** ** *** **** *********** ***** **** ********* *** ******** ******* ******* **** **** *********.  *** *** ** ********** ** ****** *** *** ************** ******* *******.  ******,  |✍ **:**, ** *** **** (***)  **, ***'** ****? *****, * ***** ***'** ******** *** **** *** ***** *** *****.  *'* ***** ***'** **** ( ****** **** **** ****!!!
0.13551405	"""  **** ********* * ****** ***'** **** * *** ** **** ** **** *********, *'* ***** ***** ** **. ** ** ******** **** *****'* ****** **** ** **** ******? *** ***** ****** ** """"*** ***"""".  """
0.16075407	"""  ********, ********, ********. *** ***'* *** **** *** ****** *****, **** *** **** ** ** ? ****** *** """"****** ******* ***** ********"""" **'* ** **** ***-***   """
0.10154031	* **** *** *** **** ************* ** *******-******* ******, ** ******* ) * **** ********, ****'* ***. ******, * ***** ****** *** ******* * *****, ** *** ******* ** *** ***** ****** *** **** **** *********? ]]****://**.*********.***/*/*****.***?*****=*******************&****;=*********&*****;=*********]] *** ** ****, *** * **** ****** *** ****. - **.***.***.***
0.10691586	""" *****, * ***** ** ***** ******* *** **** ******. * ********** **** **** *** *** ** ** ******** ************, *** ** *** *** **** *** * ***** ***** ** ************* *** ****** **** *** **** ** ***** ******* ** *** *******. ** ****** ****** ********** **** ***, ** ***, ** ****** **** *** (******* ** * ********* *******, *** """"*******"""" ******* """"******"""" *** """"*********"""").   """
0.28868997	'* ********* ** **********
0.15161379	"""   ********'* ******** ** *** ******* ** ****** ** ********  *** ******* """"********'* ******** ** *** ******* ** ****** ** ********"""" ** **** ***********: ** ******** **, ** ***** ****, *** *** ***** ** ****** ************* ** **** ******. *** ******** ******** *** ***********, *** ****** ** ***** ** **** * *******. * ******* ******** **** ******* **********.  """
0.27952337	"""   *****, **'** ****** **** **** *** **** * **** ***.  ** ***'** ***** ** ***** *** ******* ** """"******* ********"""" **** ***'** ***** ** **** ** ************ ******* *********.  ***'** *** ***** ** **** *** **** ******* ******* ** **** ******** ******** ******* *** ***********.   """
0.09452604	"""**** ****** ** ******** ******* *********** ********** *** ******** ********* ​​** *** """"******* *****"""". ** ** ******* **** *** * ******** ********* ​​(******, *******, ****** *** **********) ******* *** ****** ** ***********, **** ******** ********* ​​** *** ************ (******** ** **** *** ***********) *** *; (******, *******, ******, **********, ******* *** *******) ****** *** *******.  """
0.09614337	"""  ****** *****: *** *** *****, ***** ******* *******, *** *** **********. *** *** ************ *** **** **********, *** ***** *** ***** ****** **** *** **** ********** *** *************, ****'* *** *********** **** ******. ***** *** **** *** ****** ** ********** *** ******* *** ****** ******** *************** ********; ******* ** **** ** * ********** ***** **** ***********, *** ** *** ******* **, *****; ** ***** ** ****** ********; ** *** **********. * ***** *** *** ****** ****** ****** ********. **** """
0.35759833	**: **********   ********* *** ******** *** '******* ******' ***! * * ******* **** **** *** *** *** ** **** ** ********** ******** ***** - *** ********* ***! ****** *** *** ******* **** ** **** ******* - *'** *** *** ** ***** ** **** ****!  **
0.09045313	* * *****'** **** ****'* **** ***** **.
0.94842094	*** *** ** ** ****** ******* **** ** *** **** *********.  **** **** ***
0.061699603	***** ***, ***, *****. *** ***** ** *** *******. **** * ****** ** *** **** **** ***, * *** **** *** *** ******* *** **** ** ****** *** *****. *** ****** ** ***** ** *** ******* ******. *** *** ***** ** ***** *****!  **:**, ** *** **** (***)
0.0580114	********** *****‎ ********   *****.  * *** ********* *** ********** ***** ******* *** ******** *** * ******* **** *** ** *** ******** **** ******** ** ******** ** *** ****** ******.  *******, ***** **** ** ** *** **** ******** ******** ** ******* **** ** **** ** **** (****).  *'* ***** ** ****** **** ***** *** *** **** ***** ***** ***** ****** **** ****.  ** ***** ****** ****'* ****, **** *** ******* ***** ***-******* ***** ******** **** ******* ****.  ** **** *** ****, **** ***** ** ** ******* *** * ********* *** *** *********.  ****, ***** *** *********** ***** ******, *** *** **** ** *********** ** *** *** *** **** ****. ******!
0.69542736	**** ******** ** ** ********** **** *** ****, ********, ******** *** ******* *************. ******** ******* ** * **** *** *** ***** ***** ********* ***** ******** ** ********* **, ****** ***.  **:**, ** *** **** (***)
0.19087832	"""  *** ***** ********* ** *** ******* **** ****:  *** **** ********* ** ********* ******* ** * **** ******** **** ** ***** *** **** ******* ******* ***** **** **** **** ******* ** ** ************** *********.   *** ********:  *** *** **** ******** ** ********* ******, ** ******* *** ******** ** *** ******* ** ****, **** ** **** **** **** ** ************* ******* ** *** *** **** ****** ********* **.   ***** ** ** ***** ********** ** **** ********* ** """"*********"""" *******  ***** **** **** **** ******* ***** ******* *** ************** *********. **'* **** ******* ******* ***** ********* *** **** * ********** ******** *****, ** ******* *** **** ***** ** *** ***** ** ********* * ****** ****, *.*., ****** **** * ****** ******* ******** *** **** ******, *************, ** **** ******-**** ****** *** ********* **** ** ** ******** *** **** *******, *** *** ****** ** ** **** * ******** *********** ** """"******.""""    **:**, ** *** **** (***)"""
0.09150058	** ** *** * **** *********, ******* *** ******-********** ******* ****** *** ******* ********* **** ******** **** ** *** **** *******.
0.07006027	""" * ** **** **** ***** ********** ** ******* **** *** ******** ********* ** ***** ** ********. *** ***** ********?  ***'* ******* ** """
0.07156319	**** |******=********* ** ** *** *****
0.087097615	"""  """"****"""" ** **** * ****** ****... * ***** ** ****** *** * **** ******* **** ** ******* (****).   """
0.07744265	* ***'* *** *** ****** ** *** ******** ****** ****** *** ** ******* **** ********** ******** ** *******, ***** ************* ****** ** **** ***********. *** ******* * **** ******. ****, *** ***** ******** ****** ** * ****** ***********, *** ** ** ** *** ******* ************, *** * ***'* *** *** ****** ** *** ******** ****** ** *** ************ ******* ** *** ******* **** ** *** ************, ***** ********* **. ** *** *** ******** ******* *******, ********* *** **** **** **** ******* **** **** ** *** *** *.*.. **** *****'* ** ******** (** ********]] ****, **** ******** ****** ****** ***** ** *********** *** ***** ************ *******. *'** **** ******* ** *** ******* *** *****, ******** *** **** ******* ** ************* ******, *** *'* ********** **** ** ******* **** ** **** ******* ** ********. ********* ********* *****, ******.
0.9518692	**** ** *?   *** ****, ** *******.  ** *******, *** * ****, *** ****'* ****** **** * *****-******, ******.
0.08628603	/***-*******.****  **.**.***.***  **:**, **
0.0643335	**:***  * ***'* **** **** *** **** ** ******* ** ***********, *** ***** ***********. ** ******* **** ******* ********, ******* ****** *** ******** *******, *********, *** ********, ***** ***** ** *  *** ** * ******** ** *** ******** *****. ** *** **** ** ********* ** ****** ****, *** ***** ******* ******* ** ***** *** ****** *** ********, *** ******* ******* ****** ***** **** **** ** **. ** **** **** * ****** ******* ***** *** ***** ********* ** *****.***. *** ***** ******* ** ***** *** *** *** ****** *** **** *** ****** *** ********** ** * *******, *** **** ********, **** **** * ******* *******  **** ******** *** ****** *** ******** **** ***** ********, *** ****** ****'* ****** ***** ******* ****** (** *****) ***** ***** ***** ****. *******, ** *** ***, **** **** ********** ******* *** **** ******** *** ***** ******** **** *******- ** ************** ******* **** *** ** ******* ** ***** ** *** ******* **** ***** ************** ******** ******* *****; **** ****, ** *** **********, ** ******* ********** ** ****.  ** *** **:*** ******: **'* * ********* **** ** **** ********* *** ********** ** *** ****. ***** *** ******** ** ***** **** ** *** **** *** ******** *** *******, *** ** ***** **** ** **** *** ******** *** ****. **** ******** ** ** ********* ** *** ********* ********:   *********:*************  *********:******* ***** ** ****  *********:** ******** ********  *** ********* **********:   *********:**** *******  *********:******** *******  *** *** ********* *****:   *********:****** ****** ****  *********, ** *** **** *** *********** ******** ********* ***** **, ******** ** *****, ** ** *********** ******* * ******* *********, *********** ***** ** *** ** ******** ***, **** ***********, *******. **** ****** ******** ********. **** **** ****** ** ** **** ******** *******; ********* ** *** * ******* ****** ** ********* ** ******** ********/***********. **:*** ** ********* *** ********* ******* ** ******* ***** ******** *** ********** ***** ************ ******* ********.
0.102145106	**** ** *** ****? * ******** **** ***** ** ***, *** ** *** ***** ***.  *'* **** * ****** **** ** *********, *** ********* *'** **** **** *** ********* * **** ************ **** *** ********* ********** ********.  *'* **** ** ***** *** ******.  *** *** ***.
0.067475766	**** ** ********. **'* **** ** *** * **** ***** *** **** ** ********. * **** ***** **'* ************ *** ** ** *** ** *********. *'** *** *** ****** *** *** ******* * *** ** ****. ** *** **** ***** ** ***** **** *** ******? ***** *** * *** ** ******** ** ** ** **** *** ****-** ****** ********* **** *** **** *** ** ********* *** * *** ** ****.
0.12215192	"""   ****** ** *** ****** ******* **** ***** ******* ***********, ** *** *** **** **** **** ** ***** **** *******. ** *** ******** ** ** **, *** *** ** ******* **** *******.    """
0.15401568	********** *** ******* ******   * ***** **** ** ****** **** *** *** ********** ** *** ******** *** ******* ******, ****** ******** ****, *** ***** *** *** **** **** **** ** ** **** *******. **** ** ***** *** ** **** *** *** *******.       ***** *** ******* ******    *** ****** **** **** ****** ** ******'* ***** ** ****  ***-*********, ** ** **** ** **********, ******* ******  *********** **** ****** ** ******'* ****   ** ******* ******* ** ****** *******  **** ** * ******** ****** **** ** ************ ******* ** ******'* ****  **** ** * ****** ** ******'* **** ***** ** *****. **** ********* ** ******* ** *** *******  ********** *** ***** ** *********  ****** *****'* **** **** ******* ** ******* ******  ********** *** ***** ** ********* ******  ***** *** ** **** ****? ** *********** ** ********* ******** ** *********   *********** ** ******'* **** **** * ********* ************  *** *** **** *** **** **** ***** ***** ******* ******* ******
0.40058935	*****, **** ** ********. ******* *********** *** ********* ** ***, ** **** **** ******** *** **********.
0.11727006	""" *********, """"****** *****"""" ******* ** **** *** **** ***** **** *****'* ***** ** *** **** ** ****. *** ****** **** ** ******* ****** ********* ****. ** ***** *** *** ******, ** *** *** **...   """
0.09506239	***** **** #   * ***'* ***** *** ***** **** #'* ****** ***** ** ******* ***** *** ******* ******* ** ** *****'* ******* *** **** ** *** ***** ** ********. ***.***.***.***
0.009943807	*** **** ** ** ******* * ** **** **** ****, ***** ***** *** ******* ******* **** ** *** *** *** ****.
0.12106584	"""  **** *** ** ****. **** ***'* ****** """"*****"""", **** *** ******* ****.   """
0.7093121	*'** ***** *** **** *** **** *** *** **** ** ** **** **** ** ***** *** *** **** ** ** ****** *** ****
0.14408837	"""  **** ****** '******' ******* **  * ********* ** *** ** **** ****, *** ***** **** ** ***** *** **** *** **** * ***** ** ******** ****** **** * ***** **. *** ** **** ? ****** *** ********** **** *** **** **** **** ********. ***  **** ** *** ***** ?  ******.  | ****   *.*. *'** ******* ** **** *** ******* **** * ** **** ** **** **** *** ********* ***, ***** ***'** ********* **, **** ** ***** **; ** *** **** *** ********* ** '************ ********' ****** **** ****, ****** *** ** ****.  ***** ***.  | **** """
0.05792151	""" *'** **** *** ********. ** ****** ** ****** ***** ** ******** *** ******** ********, **** *** ***** ** **** ** *** *******.  (****) """
0.124218956	*******, *'* ****** ***** *** * ****** *** ********** ** *** **** ** ********, ****** **** ***** ******** ******* ** ******* *** ******* ** **** * ******** *** *** ***.
0.089454375	******* *******   * *** * *** ******* **** **** ********* ******* ** **** **** *** **** *** *****. (* *** ********* ** *** **). * **** **** **** *** ****** ** ****** ** *** **** ** ***??
0.0762945	**** * **** *** ** * ****** ****** **** ***** ** ***** ** ******* ***********, *** ************ *** ***** ** ****** ****** ****, **. ***. *** *** *** ***** **** *** ***** *** ****** ** *****'* ****. * *** *** ********** **** ** ******** *** **** *********** **** ** ********* - ** ***** *****-*** ****-****. *** *** ****** ****** ** ** **** *********** ** ********: **** ** ******* ***********. ***, **** ** *** ******** ********  ******: ****** ****** ********** ****** ** *** *********. **** ************ **** ** —> ****** ****** ****, **. *** —> ; *** **** ***** ** **? —
0.0444562	** ***** ****** *** ****** ****. **** *** ***** ** *** *** **** ** **** ****** ** **** ***.
0.90171826	*** ********. *** **** ******* **** *** **** ****!  *** **** *** ***** ** **** ***** ********* **** ******* * ** *****!  * **** *** ****** **** *** ***! *** *** * ***** ** ******* *** ********** *********!!!!!
0.16715428	**** *** ********** ** *****, ****   ***, * ***** *** *** ********** *** ***. **** **** ****** ***'* ****** *** ****** ****, **** **** **** ****** *** ******** ***** **.
0.40724835	""" ***** **** ******* *** **** **** **** ******* ** ****** ***** ********, *** ** ** ***** ** ********* ***** ****-**** ******? *** ****** **** **** * ******** ** **** *** ****** ** * ****, ****** ****** ** *** ********** **** *** **** ** ****** *** *** ****. *** ***** ******* ** ***** ***, *** **** ******* *** ****** ******** **** ********* **** *** **** **** * ********* ******* ** ***. ****, * ***** ****** *** ** ****** **** * *** *****, *** *** *** **** *** ***** **** * *** *** **** *** *********** ** ***** ******* ** ******* ** ******** ********* (****** *** **** *** ** *********** *** *** *********** ** *** ***** ******, *** **** *** ** *** ****** ** ****** *** ****** *** * ****** ** *****), *** **** ****** ******* * *** ***** ******** ** ******. [**]  """
0.2535821	*   ****** **?   *************, ** *** ***** '*** ****** **** ****. * **** ****. *** *** **** **' ** *********, *** **** *** **** * *** ** ******. *** *** **** ****** **** **** ******. ** *** **** ******* ** ******** **** **** ** **** ****** **** ** *** **** *** ***** **** ***? ** *** ****, *** **** * **** ** **** ********. ****'* ****... *** ****. * ***'* *** *******. * ***'* **** *** ** **** ******* ** **'* **** ******.
0.10068758	**** *** **** ****, ******?  *** ***** *** *** **** *** ** *** ******* *** ******** **** ***** ******** ** *** **** ******** ******* ** ***** ** * ******** **** *** ****** *****, ******* ** ** ****.  ***** *** ***'* **** *** ***** ** ********* ** **** ** *** *****.
0.106324635	"""   ******* *** *********   ** ******* ****** ** **** ******* *** *******, ***** ** * ******* ** *** **** """"********* **********"""" ***** ** ** ******* **** ***** ********* ******** *** ******* **** ****** ***** *** *** ** *** ******'* ************. ** ****, *******, ** **** (*** ****** ** *** **) ** *** *** ****** ***** ********* *** ****** ** ***** ** *** **** *********. ** *** ******** ** ****** ******* ******* (***** ****, ****.**,**-** *** ********, ***.***). *'* ******* ** ** *** *******.  """
0.19230662	******  ** **** ***** * ****** *** *****.  ) *** **** ** ********?
0.46749705	"""==*******: ****** *** ********** ***** ************* *****. ** ****:****** == *****’* * **** ************ (****** *****) ***** ** ***** ********* ******/***** ****  *** **** ******* **  **** ************** ** **** ***** ***** ************** ***** ************** ***** ***, *** ********** ******* ********. **** ********* ** *** ****** ******* *** ******** *******  *******, ******* ***** ***, ****** **** ****,  *** ******** ******* **  ********** ** **** ********, ********* *********, ***** *****, ****** *** ********* ** ********** ** ********* *** ********. ***** **** ****** ** ** ******* *** ******** ******* **  *****, ******, ******** ** *********, ********, ******* (********), ***** ********** ** ****** *** ***** *******. **** ******  ***** ******* *********** ****** ************ **  ** ******** ********** ***. **** ****** ******* ** ********** **** **** ** ***** *******.**** *********** **** ***** ** ****** *-***** ******** ******** ******* ***** **** ***** ** ***** *********. **** ***** ****** ** * ********** *** ** ****** ********, **** *** ** ****** ***** *** ***** ** * *******, *** ******* ********* **** *** ****** ** ***** ********** *** ********* *** ****.  *********** **** *** ********* ****** ** ***** ******** ************ ******* (*.*.*. **********) ***  ********* ** ***** ************* ************* ** ***** “******** *********”, ** *.*.*.*. *** ******* ****. **** *** **** ******** *********** *** ************* ** ***** ***** *******. **** *** *** ************** *** ******* ************ ** ********** *********. ****** ******* *** ******** **** ****** ** *********, * **** ** ****** ********* ***** ** ******** ************. ***** ******** ** ****** **** ** ***** ***********-*********.**** **** **** ****** **** ********, ******* *** ******* ********** ** ******* ********. **** **** *********** * ********** ****, * ***** ********** *****, * ***** ******* ****. *** ****** ** ***** *** **** ******* ************. **** **** *********** ** ***** ****** **** *** *** *****. ** ****** **** *****  *************, **** ****, *****, *********, ******, *******, ********* ***** *** ***  ********. ********* ***’* *** ***** ***** ** ************ *** “***’* **** *******” ** ******.  ******* ** ****  ********:    ****:******** ***** , **’* *** *****-******* ** *****,   ******** ******** ** *********, ********* ********** ** ************ **  ****:****** ******* ** *******  *** ********* ***** ** ***** ************ ****:****** ******* ** ******* *****, (*****), *****-******* ** *****,  ********* ********** ** ************ **  ****:********  *** ********* ***** ** ***** ************  ****:***** (*****), ),  ***** ************ ** ****:********  ****:******* ***** ,*********  ******** **** ******   ****:*****,*****, ********* **** ******  ****:********** *****, *****  ************ ** ****:*********, ****** **  ****:********   ****:********* *****, ********* ************ **  ****:******** ***  ****:****** ******* ** *******   ****:********* ********  ****:*******, *****  ****:  ********* *****, ***** ************ **  ****:******** *** ****:*****   ****:******,*****  ****:****** *****  """
0.08362385	********** *****   *** -   *** ****** *** ****? ****'* *** ********** ******* **** * *** ** ** ******** ** ******.*** *** ****?
0.5906758	** *** **** **********
0.027739009	*** * *** ********* ** *** ******* ** ******* *******.   ****** *** ********** ** *******.******* ** ********* *** **** **** **** **** *******.
0.4673511	****** *** *** **** ***** ****** *********.  **** ** *** ** ****.  *'* ** ** *:** ** ************ ** *********, *** **** ** *****.
0.073183596	* ********* ** *****' *****   ***** **** *** ******* ****:  *** ***** ** *** ***** **** ***** ***** ****** *** ******* ** *** *** ** *** ********* *** ****** **** ******* ** ***** **** * *********** ****** ** *** ***** ****** **** ********* ** **** *******. ******* **** **** *** ******** “****** *** **** * ******* *****” (** **:**), ***** **** *** **** *** **** ** *** ******. (** **:**; *** **:*) *******, ******* ** ***** * ***********, **** * ********* ** ********** *** *******’* ***** ****** ***** ******** ** *** ************* ** *** ****** ******* *** *** **** **** **** **** *** ** *********. ******* ********* *** ***** ** ** ******** ** ***, **** **, ********* ** *** ********** ** *****, *** ** ********** *** *******’* *** ***. **** *** **** ******* *** *** ****, ******* ** ******. “******” *** ** ******* ** *** ***** ****** ********** ** **** **** *** ***. **, **** *** **** ***** **** ******* **** *** ******* *** *** ** **** ******. ** ******, ********** *** ***** ********** ***** **** ***** ** ********* *****. * **** ** ***** ****** ** ***** ** ********* *****, ********* **** *** ********** ***** ** *** *** *** *** ********** ** ***** ** * ***** ****. **, **** **** ******* *** **********, ** ** **** **** *** ****** ******* **** *** ** ******** ** ********** *** ***** ** *** ***** **** ******* ***** ******** ******* ****** **** ** *** **** *** ** *** ***** ****.
0.08951325	*.*. ****** ********   ***'* ******! *.*'* ***** **** ****** ** ******* ** *:** **  ********'* ** ********.  ***** *** *** ****** **** *** *******.  *** *** *****!  (** *** ***'* **** **, **** ** *** **** ***! -
0.2204666	****** ******* **** ****** ******** ** *********, ** *** *** ** ********* ********** ********. ** ** ********** *********. ** *** ***** **** ** **********, *** *** *******.  * **** ** *** **** * **** ******** *** ** ***** ****: ****. ** *** ******* **** **** ****** *** **** **** ********, ****** ******* **.
0.08128598	**** ** ***** ** **** *** **** ** * ***** *******.  **** *** ******** ******* ******* ** **** ******* *** ******* ** *** ***** ** ******** ***** ****** **** ** * ********* ********?
0.09668356	* **** ******** * ****** **** *** **** ** *** ******* ********-****** ******** ******** ***********. *** *** *** ******* ** **** *******, *** * ***** *** ********* ******* *** **** *** ********* ** * ************ ************. ** *** ******, ****** *** **** *********. * **** ** *** **** * **** ******** *** ** ***** ****: ****. ** *** ******* **** **** ****** *** **** **** ********, ****** ******* **.
0.07068018	******!   ****** *** ******** ** ** *** ********** **** *** **********. * *** ******* **** * ******** ********** ******* ** ******* **** *** *** ** ******* *** ******** *** *** ** *** ******* ***. *** *** ***** ** ****** ******* *** ****** ** ** *** * ********** ***** ** **** ***** ** * **********?
0.4700567	*** ***: ***'** *** **** ****** ***********. ***'** *********** ***** ****** **** *** **** ** ********* ** ********** *** ***'** *** ********* ** *********** ******* *** ******* *** ***** ** **** **. *** **** ** **** **** ***'** ** ***** ********. *** *'* ****** **** **** *** ****'* ****** **** ********'* ******* ****** *** ********** ***.
0.17461379	"""   * *** ** ****** *** ***!     ***** ** ** ***** *********, ** ** **** **** ** ** ************ ******* ** """"**** ** *** ***** *** *****"""". ***** ** **** ** **** **** ****, *** ** ***** ******** **** ** **** ** ** ********.   """
0.25988936	"""*****, * ***** *** **** ** ** *** **** *** **** ******* (** * **** ** ******* ******) ** ******* *** **** ******* ** *******.  ** *'** ***:  *** *** **** ** *. ****** ******** ****?  * ****** ****** ***** * **** ***** *** *** **** ****** ** *** *******.  **** ***** ***** ** *** **** ******* ** *** *** ***, **** **** ******* ****, ***, **** ***** ****, *** *****'* **** * ******* ** *** ****.  * ***** **** ******** **** *** ******** ** ***** ** *** ****.  ***** ********** ***** *******; *** ** ***** *** """"***************"""" (***) **** ****** *** **** ********* ********.    ** *** **** **** *********** ** ******** **** * ***'*, *** *** ***** * ***** *******? - """
